Index,Name,Band,PC,RA,DEC,Flux,Quality
0,J0005+544,U,A,00h05m04.363531s,54d28m24.926230s,0.48,S
1,J0005+383,U,A,00h05m57.175409s,38d20m15.148570s,0.67,S
2,J0006-063,U,A,00h06m13.892894s,-06d23m35.335300s,1.1,P
3,J0008+686,U,C,00h08m33.471549s,68d37m22.045040s,0.29,W
4,J0010+109,U,A,00h10m31.005888s,10d58m29.504120s,0.35,W
5,J0010+174,U,A,00h10m33.990619s,17d24m18.761350s,0.7,S
6,J0010-418,U,C,00h10m52.519686s,-41d53m10.790750s,0.25,X
7,J0011-262,U,A,00h11m01.246752s,-26d12m33.377130s,0.7,S
8,J0011+707,U,A,00h11m31.902830s,70d45m31.625550s,0.5,S
9,J0013+408,U,A,00h13m31.130213s,40d51m37.144070s,0.7,X
10,J0014+612,U,C,00h14m48.8154s,61d17m43.8529s,0.9,S
11,J0017+815,U,A,00h17m08.474953s,81d35m08.136330s,0.6,S
12,J0017+532,U,A,00h17m51.759893s,53d12m19.121000s,0.6,S
13,J0019+203,U,A,00h19m37.854504s,20d21m45.644610s,1.1,P
14,J0019+734,U,A,00h19m45.786427s,73d27m30.017450s,1.4,P
15,J0022+002,U,B,00h22m25.425930s,00d14m56.161440s,0.35,X
16,J0022+061,U,B,00h22m32.441226s,06d08m04.268930s,0.5,S
17,J0024-420,U,B,00h24m42.989921s,-42d02m03.950200s,0.4,S
18,J0025+393,U,A,00h25m26.157705s,39d19m35.439500s,0.6,S
19,J0025-260,U,C,00h25m49.1683s,-26d02m12.695s,1.5,S
20,J0029+349,U,B,00h29m14.242456s,34d56m32.246560s,0.6,S
21,J0038+416,U,A,00h38m24.843610s,41d37m06.000570s,1.3,P
22,J0042+233,U,A,00h42m04.545183s,23d20m01.061290s,0.7,S
23,J0042+571,U,A,00h42m19.451772s,57d08m36.585690s,0.7,S
24,J0049+026,U,A,00h49m43.235929s,02d37m03.778200s,0.5,S
25,J0050-094,U,A,00h50m41.317390s,-09d29m05.210210s,1.7,P
26,J0056+164,U,C,00h56m55.294159s,16d25m13.338960s,0.9,S
27,J0057+303,U,A,00h57m48.883353s,30d21m08.812130s,0.7,S
28,J0059+001,U,A,00h59m05.514924s,00d06m51.621710s,0.7,S
29,J0100+681,U,B,01h00m51.663538s,68d08m20.534910s,0.6,S
30,J0102+584,U,A,01h02m45.762384s,58d24m11.136620s,2.3,P
31,J0105+483,U,A,01h05m49.928164s,48d19m03.192580s,0.6,S
32,J0106-405,U,B,01h06m45.107966s,-40d34m19.960360s,5.1,P
33,J0108+015,U,B,01h08m38.771074s,01d35m00.317140s,4.5,S
34,J0110+680,U,B,01h10m12.873407s,68d05m41.218500s,0.4,X
35,J0110-076,U,A,01h10m50.020945s,-07d41m41.113690s,0.4,S
36,J0110+565,U,C,01h10m57.5610s,56d32m16.932s,0.3,S
37,J0111+391,U,A,01h11m37.316982s,39d06m28.104300s,0.51,S
38,J0112+227,U,A,01h12m05.824718s,22d44m38.786190s,0.5,S
39,J0113+498,U,A,01h13m27.006816s,49d48m24.043410s,0.73,S
40,J0113+023,U,A,01h13m43.144951s,02d22m17.316310s,0.6,S
41,J0115-014,U,A,01h15m17.099972s,-01d27m04.577370s,1.7,P
42,J0116-116,U,A,01h16m12.521963s,-11d36m15.434050s,1.1,P
43,J0119+321,U,C,01h19m35.000447s,32d10m50.054290s,0.7,S
44,J0120-270,U,A,01h20m31.663334s,-27d01m24.652570s,0.7,S
45,J0121+118,U,A,01h21m41.595043s,11d49m50.413130s,1.06,S
46,J0121+043,U,A,01h21m56.861699s,04d22m24.734360s,1.2,P
47,J0122+250,U,A,01h22m38.815999s,25d02m31.793180s,0.89,S
48,J0125-000,U,A,01h25m28.843788s,-00d05m55.931800s,1.5,P
49,J0132-169,U,A,01h32m43.487454s,-16d54m48.521370s,0.6,S
50,J0135-201,U,A,01h35m37.509375s,-20d08m45.861680s,0.46,S
51,J0136+478,U,A,01h36m58.594810s,47d51m29.100060s,1.6,P
52,J0137-245,U,A,01h37m38.346378s,-24d30m53.885260s,0.9,S
53,J0137+331,U,B,01h37m41.299431s,33d09m35.132990s,1.78,P
54,J0141-094,U,A,01h41m25.832025s,-09d28m43.673810s,1.6,S
55,J0145-275,U,A,01h45m03.394589s,-27d33m34.328870s,0.5,S
56,J0149+059,U,A,01h49m22.370886s,05d55m53.568660s,0.75,S
57,J0149+189,U,A,01h49m49.718946s,18d57m20.610890s,0.5,S
58,J0151+277,U,A,01h51m27.146149s,27d44m41.793650s,0.6,S
59,J0152+221,U,A,01h52m18.059047s,22d07m07.700040s,1.3,S
60,J0153-331,U,A,01h53m10.121744s,-33d10m25.861310s,0.65,S
61,J0154+477,U,A,01h54m56.289876s,47d43m26.539140s,0.79,S
62,J0155-408,U,B,01h55m37.059378s,-40d48m42.356450s,0.52,S
63,J0157+747,U,A,01h57m34.964908s,74d42m43.229980s,0.5,S
64,J0203+115,U,A,02h03m46.657061s,11d34m45.409620s,0.5,S
65,J0204+152,U,A,02h04m50.413904s,15d14m11.043460s,2.0,P
66,J0204-170,U,A,02h04m57.674350s,-17d01m19.840180s,0.9,P
67,J0205+322,U,A,02h05m04.925371s,32d12m30.095600s,1.4,S
68,J0215-023,U,A,02h15m42.017245s,-02d22m56.751750s,0.6,S
69,J0217+738,U,A,02h17m30.813363s,73d49m32.621760s,2.1,P
70,J0217+017,U,A,02h17m48.954740s,01d44m49.699090s,1.4,S
71,J0219+013,U,A,02h19m07.024497s,01d20m59.865760s,0.7,S
72,J0221+359,U,C,02h21m05.4733s,35d56m13.791s,1.1,S
73,J0222-346,U,A,02h22m56.401625s,-34d41m28.730110s,0.6,S
74,J0224+069,U,A,02h24m28.428190s,06d59m23.341640s,1.4,S
75,J0226+343,U,A,02h26m10.333198s,34d21m30.286450s,1.1,P
76,J0228+673,U,A,02h28m50.051459s,67d21m03.029260s,2.3,P
77,J0231+133,U,A,02h31m45.894054s,13d22m54.716270s,2.5,S
78,J0237+288,U,A,02h37m52.405678s,28d48m08.990080s,2.5,P
79,J0238+166,U,A,02h38m38.930108s,16d36m59.274710s,3.3,P
80,J0239-025,U,A,02h39m45.472266s,-02d34m40.914300s,1.0,S
81,J0239+042,U,A,02h39m51.263048s,04d16m21.411830s,0.8,S
82,J0240-231,U,B,02h40m08.174510s,-23d09m15.730850s,0.9,P
83,J0241-082,U,A,02h41m04.798520s,-08d15m20.751840s,0.8,S
84,J0242+110,U,A,02h42m29.170847s,11d01m00.728230s,1.0,S
85,J0244+624,U,B,02h44m57.696827s,62d28m06.514590s,1.25,P
86,J0249+063,U,A,02h49m18.016104s,06d19m51.947230s,0.5,S
87,J0251+432,U,A,02h51m34.536779s,43d15m15.828580s,1.1,S
88,J0259+077,U,A,02h59m27.076633s,07d47m39.643230s,0.5,S
89,J0302+123,U,A,03h02m30.546779s,12d18m56.750940s,0.31,W
90,J0303+472,U,A,03h03m35.242226s,47d16m16.275460s,2.9,P
91,J0304+683,U,A,03h04m22.003817s,68d21m37.474460s,0.6,S
92,J0309+104,U,A,03h09m03.623523s,10d29m16.340820s,1.1,S
93,J0313+413,U,A,03h13m01.962129s,41d20m01.183530s,0.55,S
94,J0318+164,U,A,03h18m57.802658s,16d28m32.698500s,0.7,S
95,J0319+415,U,B,03h19m48.160102s,41d30m42.103050s,20.7,P
96,J0319+190,U,A,03h19m51.256732s,19d01m31.290890s,0.3,S
97,J0321+123,U,A,03h21m53.103505s,12d21m13.954030s,0.75,S
98,J0325+469,U,A,03h25m20.303846s,46d55m06.635090s,0.46,W
99,J0325+226,U,A,03h25m36.814375s,22d24m00.365180s,1.14,P
100,J0329-239,U,A,03h29m54.075537s,-23d57m08.773300s,1.0,S
101,J0329+279,U,B,03h29m57.669413s,27d56m15.499140s,0.45,W
102,J0334-401,U,B,03h34m13.654494s,-40d08m25.397980s,1.55,P
103,J0334+080,U,A,03h34m53.316689s,08d00m14.418780s,0.4,S
104,J0336+323,U,A,03h36m30.107599s,32d18m29.342390s,1.56,P
105,J0339-017,U,A,03h39m30.937787s,-01d46m35.803990s,2.35,S
106,J0340-213,U,A,03h40m35.607864s,-21d19m31.172230s,1.0,S
107,J0344+159,U,A,03h44m23.172172s,15d59m43.369310s,0.33,S
108,J0345+148,U,A,03h45m06.416546s,14d53m49.558180s,0.4,W
109,J0348-278,U,A,03h48m38.144561s,-27d49m13.565300s,2.2,P
110,J0348+338,U,T,03h48m46.9045s,33d53m14.965s,0.2,X
111,J0349+461,U,A,03h49m18.741557s,46d09m59.658150s,0.9,P
112,J0354+467,U,A,03h54m30.011634s,46d43m18.750530s,0.6,S
113,J0357+233,U,A,03h57m21.609873s,23d19m53.826090s,0.8,S
114,J0359+600,U,A,03h59m02.639962s,60d05m22.068550s,0.6,S
115,J0359+509,U,B,03h59m29.747262s,50d57m50.161510s,3.5,S
116,J0359+323,U,A,03h59m44.912900s,32d20m47.155500s,1.1,P
117,J0402-317,U,A,04h02m21.266027s,-31d47m25.945580s,0.4,S
118,J0403+260,U,A,04h03m05.586048s,26d00m01.502740s,0.9,S
119,J0403-360,U,B,04h03m53.749908s,-36d05m01.913200s,4.2,P
120,J0405-131,U,A,04h05m34.003401s,-13d08m13.691050s,1.9,S
121,J0405+380,U,A,04h05m49.262371s,38d03m32.235500s,0.35,S
122,J0406-384,U,A,04h06m59.035347s,-38d26m28.042060s,2.0,P
123,J0407-330,U,C,04h07m33.9211s,-33d03m46.001s,0.6,S
124,J0409+122,U,A,04h09m22.008740s,12d17m39.847500s,0.85,S
125,J0410+769,U,C,04h10m45.6057s,76d56m45.301s,1.46,P
126,J0414+343,U,A,04h14m37.255748s,34d18m51.207380s,0.97,P
127,J0416-188,U,A,04h16m36.544466s,-18d51m08.340120s,1.1,P
128,J0419+399,U,A,04h19m22.549539s,39d55m28.977640s,0.4,W
129,J0422+534,U,B,04h22m44.398788s,53d24m26.263130s,0.3,W
130,J0422+023,U,A,04h22m52.214644s,02d19m26.931920s,0.9,S
131,J0423-013,U,A,04h23m15.800727s,-01d20m33.065310s,4.3,P
132,J0423+418,U,A,04h23m56.009795s,41d50m02.712770s,0.72,P
133,J0424+020,U,A,04h24m08.562028s,02d04m24.964950s,0.4,S
134,J0424-379,U,A,04h24m42.243727s,-37d56m20.784230s,1.3,P
135,J0424+006,U,A,04h24m46.842052s,00d36m06.329830s,0.6,S
136,J0427+415,U,A,04h27m46.045552s,41d33m01.099640s,0.5,S
137,J0427+049,U,A,04h27m47.570514s,04d57m08.325980s,0.4,W
138,J0428+329,U,A,04h28m05.808723s,32d59m52.043850s,0.4,W
139,J0428-379,U,A,04h28m40.424306s,-37d56m19.580310s,1.3,P
140,J0431+206,U,B,04h31m03.7620s,20d37m34.250s,1.1,S
141,J0432+416,U,A,04h32m36.502609s,41d38m28.448550s,1.6,P
142,J0433+053,U,A,04h33m11.095535s,05d21m15.619420s,3.1,S
143,J0437-187,U,B,04h37m01.482736s,-18d44m48.613410s,0.7,S
144,J0440-435,U,A,04h40m17.179992s,-43d33m08.604060s,2.0,S
145,J0441-336,U,C,04h41m33.7754s,-33d40m03.721s,0.25,X
146,J0442-002,U,A,04h42m38.660762s,-00d17m43.419100s,1.1,S
147,J0443+346,U,A,04h43m31.635199s,34d41m06.664090s,0.5,S
148,J0449+113,U,A,04h49m07.671119s,11d21m28.596620s,1.1,P
149,J0449+635,U,A,04h49m23.310586s,63d32m09.434490s,1.0,S
150,J0449-391,U,C,04h49m42.2594s,-39d11m09.056s,1.0,P
151,J0453-281,U,A,04h53m14.646807s,-28d07m37.327600s,1.1,P
152,J0457-234,U,A,04h57m03.179230s,-23d24m52.020050s,1.5,P
153,J0457+067,U,A,04h57m07.709927s,06d45m07.260640s,0.4,S
154,J0459+024,U,A,04h59m52.050664s,02d29m31.176310s,0.6,S
155,J0501-019,U,A,05h01m12.809888s,-01d59m14.256200s,3.1,P
156,J0501+139,U,A,05h01m45.270840s,13d56m07.220630s,0.38,W
157,J0502+061,U,A,05h02m15.445934s,06d09m07.494300s,0.62,S
158,J0502+136,U,A,05h02m33.219510s,13d38m10.958700s,0.1,X
159,J0503+020,U,A,05h03m21.197177s,02d03m04.676380s,1.1,P
160,J0505+049,U,A,05h05m23.184723s,04d59m42.724480s,0.5,S
161,J0508+845,U,B,05h08m42.363503s,84d32m04.544020s,0.3,S
